Mapping parameters for Rhincodon typus (Whale shark)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."



Occurrence cells used for creating environmental envelope (n = 1215)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
Rhincodon,typus,-23.25,113.25,3211:133:1,309,24.9655361175537,21.1946792602539,34.9688873291016,35.4677925109863,3.05399997159839,0,200.485549926758,77
Rhincodon,typus,-23.25,113.75,3211:133:2,50,24.5424938201904,23.4686031341553,34.9261627197266,35.1632118225098,4.42613381892443,0,208.901382446289,16
Rhincodon,typus,-23.25,164.25,3216:134:1,2449,24.2148609161377,1.86172604560852,35.4483528137207,34.6765174865723,1.2910000514239102,0,155.390487670898,247
Rhincodon,typus,-23.25,167.25,3216:237:1,762,24.3428764343262,5.44811916351318,35.3347587585449,34.4193000793457,1.4809999847784598,0,196.20703125,107
Rhincodon,typus,-23.25,167.75,3216:237:2,950,24.4828071594238,3.73517394065857,35.2875366210938,34.4718627929688,1.40599999576807,0,171.313262939453,107
Rhincodon,typus,-23.25,-40.75,5204:130:2,1564,25.1140899658203,3.46645903587341,37.1264152526855,34.9386558532715,6.51799980551004,0,251.266021728516,164
Rhincodon,typus,-22.75,112.75,3211:122:4,1402,25.2599830627441,4.42025804519653,35.0294456481934,34.6194152832031,1.9720001146197301,0,113.148262023926,128
Rhincodon,typus,-22.75,113.75,3211:123:4,55,24.9728164672852,22.2394390106201,34.8663063049316,35.0860137939453,4.44007571786642,0,201.277465820313,15
Rhincodon,typus,-22.75,151.25,3215:121:3,33,24.2534255981445,24.4308776855469,35.4469604492188,35.4035377502441,8.70500039309263,0,212.666229248047,91
Rhincodon,typus,-22.75,166.75,3216:226:4,650,24.32594871521,24.3404331207275,35.2930641174316,35.4146881103516,1.4449999434873502,0,212.907897949219,103
Rhincodon,typus,-22.75,167.75,3216:227:4,711,24.7818660736084,3.30844211578369,35.2111282348633,34.5294303894043,1.52499997057021,0,163.644943237305,25
Rhincodon,typus,-22.75,168.25,3216:228:3,1652,24.9584617614746,2.43061900138855,35.195011138916,34.6133003234863,1.34900002740324,0,150.9560546875,103
Rhincodon,typus,-22.75,170.75,3217:120:4,4836,24.7730693817139,1.49824702739716,35.2249412536621,34.6927261352539,1.0629999451339198,0,154.033599853516,127
Rhincodon,typus,-22.75,-40.75,5204:120:4,332,24.7713928222656,16.7408103942871,37.0005683898926,35.9447479248047,15.2650000527501,0,205.231109619141,126
Rhincodon,typus,-22.75,-42.25,5204:122:3,40,23.3091335296631,21.3272800445557,36.3470840454102,36.4876976013184,20.542599260807,0,213.404693603516,5
Rhincodon,typus,-22.75,-147.75,5214:227:4,4740,25.2649040222168,1.08036005496979,35.7552528381348,34.7076759338379,0.224000003072433,0,187.77685546875,163
Rhincodon,typus,-22.75,-148.75,5214:228:4,4652,25.2766933441162,1.07585597038269,35.733772277832,34.6986312866211,0.222000002395362,0,188.357772827148,127
Rhincodon,typus,-22.75,-151.25,5215:121:3,3493,25.2642440795898,2.50341391563416,35.700496673584,34.5750999450684,0.220999994780868,0,153.762756347656,107
Rhincodon,typus,-22.25,11.75,3201:121:2,2607,18.1903457641602,2.62650203704834,35.3420181274414,34.8962287902832,22.902999073267,0,222.824111938477,255
Rhincodon,typus,-22.25,35.75,3203:225:2,262,26.1982307434082,8.49435806274414,34.4320640563965,34.7198753356934,17.1440001577139,0,149.341201782227,24
